job_id,office,position_title,date,year,listing_type,umap_x,umap_y,cluster
MEM-101-14,Congressman Steven Horsford (NV-4),Intern,2014-01-06,2014,internship,9.076079,-1.6118944,24
MEM-377-13,,Press Intern,2013-12-23,2013,internship,13.721904,18.871832,-1
MEM-372-13,,Spring 2014 Intern,2013-12-16,2013,internship,10.330346,3.5922263,-1
MEM-371-13,Congressman Derek Kilmer (WA-06),Intern,2013-12-09,2013,internship,0.19579807,18.09099,-1
MEM-369-13,,Communications Intern,2013-12-09,2013,internship,13.242618,18.63656,-1
MEM-368-13,Congressman Mario Diaz-Balart (FL-25),Intern,2013-12-09,2013,internship,8.269828,-0.60768586,-1
MEM-367-13,,Communications Intern,2013-12-09,2013,internship,13.240985,18.733046,-1
MEM-365-13,Congressman Dave Loebsack (IA-02),Spring Intern,2013-12-09,2013,internship,3.9291363,1.28022,-1
MEM-111-14,Congressman Reid Ribble (WI-08),Spring 2014 Intern,2014-01-13,2014,internship,6.7137628,5.012936,27
MEM-110-14,Congressman Jerry McNerney (CA-09),Intern,2014-01-13,2014,internship,10.952641,2.1373088,29
MEM-105-14,Congresswoman Betty McCollum (MN-04),Internship,2014-01-13,2014,internship,7.171734,2.834033,-1
MEM-103-14,,Spring 2014 Intern,2014-01-13,2014,internship,10.863799,8.39213,6
MEM-102-14,,Legislative Intern,2014-01-13,2014,internship,4.0040174,3.626623,-1
MEM-316-13,Congresswoman Maxine Waters (CA-43),Press and Social Media Intern,2013-12-09,2013,internship,14.365046,19.467169,-1
MEM-117-14,Congressman Denny Heck (WA-10),Intern,2014-01-20,2014,internship,6.5292406,0.6595577,-1
MEM-116-14,,Spring 2014 Intern,2014-01-20,2014,internship,11.132323,8.394976,6
MEM-115-14,,Press Intern,2014-01-20,2014,internship,14.299047,19.458416,-1
MEM-114-14,,Intern,2014-01-20,2014,internship,-3.7582145,-0.49463674,30
MEM-113-14,Congresswoman Katherine Clark (MA-05),Unpaid Intern,2014-01-20,2014,internship,6.88788,7.364305,-1
