year,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Adobe Premiere,Agriculture,Appropriations / Budget,Arabic,Attention to Detail,Bilingual (any),Bill Drafting,Budget Management,CMS / Website Management,Campaign Experience,Canva,Capitol Hill Experience,Casework,Coalition Building,Committee Work,Community Outreach,Constituent Services,Data Analysis Software,Defense / National Security,Digital Strategy,Driver's License,Education Policy,Environment / Climate,Fast-Paced Environment,Final Cut Pro,Finance / Tax Policy,Floor Procedure,Foreign Policy,French,Google Analytics,Government Affairs,Graphic Design,Haitian Creole,Healthcare Policy,Housing,Immigration,Instagram,JD / Law Degree,Judiciary / Legal,Korean,Legislative Research,MailChimp / Constant Contact,Mandarin / Chinese,Master's Degree,Media Relations,Microsoft Excel,Microsoft Office Suite,Newsletter,Non-profit Experience,Op-Ed Writing,Podcast Production,Press Releases / Statements,Project Management,Quorum,Regulatory / Federal Agency,Security Clearance (any),Small Business,Social Media,Spanish,Speechwriting,Strong Writing Skills,Supervisory / Management,TS/SCI Clearance,Tagalog / Filipino,Talking Points,Technology / Innovation,TikTok,Top Secret Clearance,Town Halls / Events,Transportation,Twitter / X,VAN / NGP,Veterans Affairs,Video Production,Vietnamese,Zoom / Webinar Platforms,iConstituent
2013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,2.0,3.0,0.0,21.0,1.0,1.0,0.0,0.0,1.0,0.0,34.0,7.0,0.0,7.0,0.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,35.0,0.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,12.0,0.0,0.0,1.0,1.0,4.0,5.0,3.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,17.0,8.0,0.0,36.0,5.0,0.0,0.0,9.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,2.0
2015,1.0,1.0,1.0,0.0,3.0,6.0,0.0,21.0,3.0,1.0,1.0,0.0,2.0,0.0,47.0,12.0,0.0,9.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,43.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,7.0,0.0,4.0,6.0,0.0,9.0,0.0,0.0,0.0,4.0,9.0,2.0,3.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,4.0,25.0,8.0,1.0,54.0,6.0,0.0,0.0,19.0,0.0,0.0,0.0,6.0,7.0,3.0,0.0,13.0,2.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,4.0,5.0,1.0,17.0,4.0,7.0,0.0,0.0,3.0,0.0,43.0,9.0,0.0,5.0,3.0,6.0,1.0,3.0,2.0,4.0,2.0,2.0,40.0,0.0,8.0,2.0,5.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,7.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,2.0,1.0,2.0,0.0,0.0,20.0,1.0,4.0,0.0,2.0,7.0,20.0,16.0,3.0,68.0,4.0,0.0,0.0,13.0,0.0,0.0,4.0,4.0,6.0,3.0,0.0,13.0,2.0,0.0,0.0,0.0
2017,1.0,0.0,1.0,0.0,2.0,3.0,0.0,24.0,5.0,5.0,0.0,0.0,3.0,0.0,46.0,9.0,0.0,11.0,2.0,5.0,0.0,2.0,3.0,1.0,3.0,1.0,45.0,0.0,7.0,2.0,7.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,8.0,0.0,4.0,0.0,1.0,1.0,19.0,4.0,1.0,1.0,1.0,2.0,27.0,12.0,5.0,62.0,9.0,0.0,0.0,18.0,0.0,0.0,0.0,1.0,11.0,4.0,1.0,16.0,4.0,0.0,0.0,0.0
2018,2.0,0.0,2.0,1.0,3.0,4.0,0.0,35.0,3.0,6.0,1.0,2.0,8.0,1.0,60.0,16.0,0.0,8.0,4.0,10.0,0.0,2.0,9.0,4.0,2.0,1.0,62.0,0.0,4.0,7.0,4.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,3.0,2.0,12.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,1.0,2.0,0.0,29.0,1.0,2.0,0.0,1.0,8.0,37.0,13.0,2.0,66.0,11.0,2.0,0.0,28.0,1.0,0.0,1.0,2.0,8.0,3.0,0.0,8.0,8.0,0.0,0.0,1.0
2019,2.0,0.0,3.0,3.0,4.0,7.0,1.0,48.0,4.0,15.0,2.0,1.0,7.0,1.0,84.0,31.0,0.0,17.0,8.0,14.0,2.0,2.0,17.0,8.0,1.0,9.0,89.0,0.0,8.0,4.0,3.0,0.0,0.0,0.0,10.0,4.0,3.0,0.0,10.0,1.0,15.0,13.0,0.0,2.0,1.0,0.0,1.0,2.0,6.0,3.0,9.0,2.0,2.0,0.0,47.0,1.0,5.0,1.0,2.0,4.0,59.0,27.0,4.0,79.0,16.0,1.0,0.0,36.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,17.0,8.0,0.0,0.0,0.0
2020,6.0,2.0,6.0,6.0,1.0,6.0,0.0,40.0,2.0,8.0,1.0,1.0,6.0,1.0,42.0,28.0,0.0,10.0,3.0,11.0,0.0,3.0,13.0,2.0,3.0,1.0,56.0,2.0,5.0,5.0,4.0,0.0,1.0,0.0,11.0,0.0,3.0,1.0,4.0,5.0,6.0,5.0,2.0,1.0,0.0,2.0,0.0,5.0,7.0,4.0,7.0,2.0,1.0,0.0,24.0,1.0,4.0,0.0,0.0,1.0,36.0,18.0,0.0,52.0,8.0,0.0,0.0,27.0,0.0,0.0,1.0,9.0,5.0,5.0,0.0,3.0,20.0,0.0,1.0,1.0
2021,3.0,1.0,5.0,2.0,9.0,19.0,3.0,81.0,7.0,23.0,2.0,3.0,6.0,2.0,99.0,40.0,0.0,38.0,5.0,17.0,1.0,10.0,17.0,4.0,7.0,7.0,111.0,0.0,14.0,8.0,18.0,0.0,1.0,1.0,18.0,3.0,9.0,1.0,9.0,5.0,23.0,35.0,0.0,3.0,0.0,0.0,0.0,3.0,13.0,3.0,2.0,7.0,3.0,0.0,53.0,1.0,5.0,2.0,1.0,13.0,55.0,30.0,0.0,109.0,11.0,2.0,1.0,46.0,1.0,2.0,0.0,10.0,20.0,5.0,0.0,14.0,20.0,0.0,3.0,0.0
2022,3.0,0.0,3.0,4.0,8.0,16.0,1.0,81.0,8.0,16.0,1.0,0.0,2.0,4.0,124.0,39.0,0.0,30.0,2.0,28.0,2.0,13.0,27.0,7.0,2.0,5.0,118.0,0.0,18.0,11.0,15.0,0.0,0.0,1.0,27.0,1.0,5.0,0.0,18.0,3.0,7.0,14.0,0.0,4.0,0.0,1.0,1.0,5.0,9.0,9.0,6.0,10.0,0.0,0.0,50.0,2.0,3.0,0.0,3.0,12.0,73.0,47.0,3.0,124.0,18.0,0.0,1.0,57.0,0.0,0.0,2.0,19.0,22.0,3.0,0.0,17.0,22.0,0.0,0.0,0.0
